
run_date,station,forecast_high_f
2023-01-26,KAUS,67
2023-01-27,KAUS,66
2023-01-28,KAUS,63
2023-01-29,KAUS,67
2023-01-30,KAUS,39
2023-01-31,KAUS,48
2023-02-01,KAUS,56
2023-02-02,KAUS,62
2023-02-03,KAUS,72
2023-02-04,KAUS,79
2023-02-05,KAUS,78
2023-02-06,KAUS,78
2023-02-07,KAUS,72
2023-02-08,KAUS,72
2023-02-09,KAUS,72
2023-02-10,KAUS,64
2023-02-11,KAUS,71
2023-02-12,KAUS,75
2023-02-13,KAUS,84
2023-02-14,KAUS,82
2023-02-15,KAUS,81
2023-02-16,KAUS,57
2023-02-17,KAUS,72
2023-02-18,KAUS,79
2023-02-19,KAUS,83
2023-02-20,KAUS,85
2023-02-21,KAUS,84
2023-02-22,KAUS,85
2023-02-23,KAUS,73
2023-02-24,KAUS,77
2023-02-25,KAUS,83
2023-02-26,KAUS,86
2023-02-27,KAUS,86
2023-02-28,KAUS,87
2023-03-01,KAUS,87
2023-03-02,KAUS,80
2023-03-03,KAUS,80
2023-03-04,KAUS,83
2023-03-05,KAUS,84
2023-03-06,KAUS,85
2023-03-07,KAUS,84
2023-03-08,KAUS,82
2023-03-09,KAUS,87
2023-03-10,KAUS,87
2023-03-11,KAUS,88
2023-03-12,KAUS,73
2023-03-13,KAUS,75
2023-03-14,KAUS,75
2023-03-15,KAUS,71
2023-03-16,KAUS,78
2023-03-17,KAUS,56
2023-03-18,KAUS,56
2023-03-19,KAUS,71
2023-03-20,KAUS,79
2023-03-21,KAUS,86
2023-03-22,KAUS,87
2023-03-23,KAUS,88
2023-03-24,KAUS,84
2023-03-25,KAUS,84
2023-03-26,KAUS,79
2023-03-27,KAUS,78
2023-03-28,KAUS,78
2023-03-29,KAUS,90
2023-03-30,KAUS,86
2023-03-31,KAUS,87
2023-04-01,KAUS,91
2023-04-02,KAUS,94
2023-04-03,KAUS,92
2023-04-04,KAUS,89
2023-04-05,KAUS,70
2023-04-06,KAUS,65
2023-04-07,KAUS,73
2023-04-08,KAUS,74
2023-04-09,KAUS,73
2023-04-10,KAUS,77
2023-04-11,KAUS,81
2023-04-12,KAUS,81
2023-04-13,KAUS,90
2023-04-14,KAUS,91
2023-04-15,KAUS,86
2023-04-16,KAUS,76
2023-04-17,KAUS,81
2023-04-18,KAUS,80
2023-04-19,KAUS,84
2023-04-20,KAUS,82
2023-04-21,KAUS,78
2023-04-22,KAUS,79
2023-04-23,KAUS,76
2023-04-24,KAUS,80
2023-04-25,KAUS,81
2023-04-26,KAUS,87
2023-04-27,KAUS,87
2023-04-28,KAUS,87
2023-04-29,KAUS,86
2023-04-30,KAUS,88
2023-05-01,KAUS,83
2023-05-02,KAUS,82
2023-05-03,KAUS,83
2023-05-04,KAUS,88
2023-05-05,KAUS,91
2023-05-06,KAUS,91
2023-05-07,KAUS,89
2023-05-08,KAUS,88
2023-05-09,KAUS,90
2023-05-10,KAUS,88
2023-05-11,KAUS,88
2023-05-12,KAUS,86
2023-05-13,KAUS,76
2023-05-14,KAUS,81
2023-05-15,KAUS,85
2023-05-16,KAUS,87
2023-05-17,KAUS,86
2023-05-18,KAUS,87
2023-05-19,KAUS,88
2023-05-20,KAUS,79
2023-05-21,KAUS,86
2023-05-22,KAUS,86
2023-05-23,KAUS,86
2023-05-24,KAUS,84
2023-05-25,KAUS,85
2023-05-26,KAUS,85
2023-05-27,KAUS,83
2023-05-28,KAUS,84
2023-05-29,KAUS,88
2023-05-30,KAUS,88
2023-05-31,KAUS,90
2023-06-01,KAUS,89
2023-06-02,KAUS,90
2023-06-03,KAUS,90
2023-06-04,KAUS,82
2023-06-05,KAUS,88
2023-06-06,KAUS,90
2023-06-07,KAUS,94
2023-06-08,KAUS,94
2023-06-09,KAUS,98
2023-06-10,KAUS,98
2023-06-11,KAUS,98
2023-06-12,KAUS,101
2023-06-13,KAUS,101
2023-06-14,KAUS,102
2023-06-15,KAUS,103
2023-06-16,KAUS,102
2023-06-17,KAUS,102
2023-06-18,KAUS,104
2023-06-19,KAUS,103
2023-06-20,KAUS,102
2023-06-21,KAUS,100
2023-06-22,KAUS,100
2023-06-23,KAUS,103
2023-06-24,KAUS,105
2023-06-25,KAUS,104
2023-06-26,KAUS,105
2023-06-27,KAUS,103
2023-06-28,KAUS,102
2023-06-29,KAUS,100
2023-06-30,KAUS,100
2023-07-01,KAUS,100
2023-07-02,KAUS,98
2023-07-03,KAUS,97
2023-07-04,KAUS,96
2023-07-05,KAUS,95
2023-07-06,KAUS,98
2023-07-07,KAUS,101
2023-07-08,KAUS,102
2023-07-09,KAUS,102
2023-07-10,KAUS,102
2023-07-11,KAUS,104
2023-07-12,KAUS,104
2023-07-13,KAUS,104
2023-07-14,KAUS,104
2023-07-15,KAUS,104
2023-07-16,KAUS,106
2023-07-17,KAUS,106
2023-07-18,KAUS,105
2023-07-19,KAUS,104
2023-07-20,KAUS,103
2023-07-21,KAUS,103
2023-07-22,KAUS,103
2023-07-23,KAUS,102
2023-07-24,KAUS,103
2023-07-25,KAUS,101
2023-07-26,KAUS,101
2023-07-27,KAUS,101
2023-07-28,KAUS,102
2023-07-29,KAUS,104
2023-07-30,KAUS,106
2023-07-31,KAUS,104
2023-08-01,KAUS,103
2023-08-02,KAUS,104
2023-08-03,KAUS,104
2023-08-04,KAUS,105
2023-08-05,KAUS,105
2023-08-06,KAUS,105
2023-08-07,KAUS,104
2023-08-08,KAUS,104
2023-08-09,KAUS,104
2023-08-10,KAUS,104
2023-08-11,KAUS,105
2023-08-12,KAUS,104
2023-08-13,KAUS,104
2023-08-14,KAUS,104
2023-08-15,KAUS,106
2023-08-16,KAUS,106
2023-08-17,KAUS,106
2023-08-18,KAUS,105
2023-08-19,KAUS,105
2023-08-20,KAUS,105
2023-08-21,KAUS,107
2023-08-22,KAUS,103
2023-08-23,KAUS,104
2023-08-24,KAUS,104
2023-08-25,KAUS,104
2023-08-26,KAUS,104
2023-08-27,KAUS,105
2023-08-28,KAUS,102
2023-08-29,KAUS,103
2023-08-30,KAUS,104
2023-08-31,KAUS,101
2023-09-01,KAUS,101
2023-09-02,KAUS,101
2023-09-03,KAUS,101
2023-09-04,KAUS,101
2023-09-05,KAUS,103
2023-09-06,KAUS,105
2023-09-07,KAUS,105
2023-09-08,KAUS,106
2023-09-09,KAUS,99
2023-09-10,KAUS,98
2023-09-11,KAUS,95
2023-09-12,KAUS,95
2023-09-13,KAUS,89
2023-09-14,KAUS,89
2023-09-15,KAUS,93
2023-09-16,KAUS,96
2023-09-17,KAUS,96
2023-09-18,KAUS,95
2023-09-19,KAUS,96
2023-09-20,KAUS,97
2023-09-21,KAUS,97
2023-09-22,KAUS,96
2023-09-23,KAUS,97
2023-09-24,KAUS,99
2023-09-25,KAUS,96
2023-09-26,KAUS,96
2023-09-27,KAUS,95
2023-09-28,KAUS,95
2023-09-29,KAUS,96
2023-09-30,KAUS,96
2023-10-01,KAUS,96
2023-10-02,KAUS,95
2023-10-03,KAUS,95
2023-10-04,KAUS,94
2023-10-05,KAUS,88
2023-10-06,KAUS,88
2023-10-07,KAUS,87
2023-10-08,KAUS,85
2023-10-09,KAUS,85
2023-10-10,KAUS,88
2023-10-11,KAUS,90
2023-10-12,KAUS,90
2023-10-13,KAUS,88
2023-10-14,KAUS,82
2023-10-15,KAUS,80
2023-10-16,KAUS,85
2023-10-17,KAUS,92
2023-10-18,KAUS,99
2023-10-19,KAUS,97
2023-10-20,KAUS,95
2023-10-21,KAUS,95
2023-10-22,KAUS,91
2023-10-23,KAUS,86
2023-10-24,KAUS,85
2023-10-25,KAUS,88
2023-10-26,KAUS,86
2023-10-27,KAUS,85
2023-10-28,KAUS,85
2023-10-29,KAUS,67
2023-10-30,KAUS,63
2023-10-31,KAUS,71
2023-11-01,KAUS,78
2023-11-02,KAUS,81
2023-11-03,KAUS,83
2023-11-04,KAUS,84
2023-11-05,KAUS,88
2023-11-06,KAUS,86
2023-11-07,KAUS,86
2023-11-08,KAUS,88
2023-11-09,KAUS,73
2023-11-10,KAUS,62
2023-11-11,KAUS,64
2023-11-12,KAUS,68
2023-11-13,KAUS,73
2023-11-14,KAUS,74
2023-11-15,KAUS,82
2023-11-16,KAUS,80
2023-11-17,KAUS,79
2023-11-18,KAUS,77
2023-11-19,KAUS,77
2023-11-20,KAUS,81
2023-11-21,KAUS,65
