
run_date,station,forecast_high_f
2023-01-26,KDEN,40
2023-01-27,KDEN,38
2023-01-28,KDEN,22
2023-01-29,KDEN,29
2023-01-30,KDEN,36
2023-01-31,KDEN,37
2023-02-01,KDEN,48
2023-02-02,KDEN,51
2023-02-03,KDEN,51
2023-02-04,KDEN,52
2023-02-05,KDEN,49
2023-02-06,KDEN,50
2023-02-07,KDEN,46
2023-02-08,KDEN,46
2023-02-09,KDEN,52
2023-02-10,KDEN,52
2023-02-11,KDEN,51
2023-02-12,KDEN,53
2023-02-13,KDEN,49
2023-02-14,KDEN,40
2023-02-15,KDEN,48
2023-02-16,KDEN,50
2023-02-17,KDEN,52
2023-02-18,KDEN,52
2023-02-19,KDEN,54
2023-02-20,KDEN,51
2023-02-21,KDEN,52
2023-02-22,KDEN,35
2023-02-23,KDEN,50
2023-02-24,KDEN,55
2023-02-25,KDEN,55
2023-02-26,KDEN,56
2023-02-27,KDEN,52
2023-02-28,KDEN,48
2023-03-01,KDEN,44
2023-03-02,KDEN,44
2023-03-03,KDEN,53
2023-03-04,KDEN,53
2023-03-05,KDEN,49
2023-03-06,KDEN,47
2023-03-07,KDEN,47
2023-03-08,KDEN,58
2023-03-09,KDEN,56
2023-03-10,KDEN,52
2023-03-11,KDEN,52
2023-03-12,KDEN,62
2023-03-13,KDEN,69
2023-03-14,KDEN,68
2023-03-15,KDEN,67
2023-03-16,KDEN,44
2023-03-17,KDEN,55
2023-03-18,KDEN,58
2023-03-19,KDEN,56
2023-03-20,KDEN,65
2023-03-21,KDEN,62
2023-03-22,KDEN,52
2023-03-23,KDEN,49
2023-03-24,KDEN,47
2023-03-25,KDEN,42
2023-03-26,KDEN,55
2023-03-27,KDEN,54
2023-03-28,KDEN,67
2023-03-29,KDEN,66
2023-03-30,KDEN,68
2023-03-31,KDEN,68
2023-04-01,KDEN,64
2023-04-02,KDEN,64
2023-04-03,KDEN,58
2023-04-04,KDEN,58
2023-04-05,KDEN,64
2023-04-06,KDEN,63
2023-04-07,KDEN,64
2023-04-08,KDEN,75
2023-04-09,KDEN,83
2023-04-10,KDEN,80
2023-04-11,KDEN,81
2023-04-12,KDEN,81
2023-04-13,KDEN,74
2023-04-14,KDEN,63
2023-04-15,KDEN,71
2023-04-16,KDEN,76
2023-04-17,KDEN,71
2023-04-18,KDEN,72
2023-04-19,KDEN,56
2023-04-20,KDEN,51
2023-04-21,KDEN,56
2023-04-22,KDEN,57
2023-04-23,KDEN,59
2023-04-24,KDEN,59
2023-04-25,KDEN,61
2023-04-26,KDEN,58
2023-04-27,KDEN,68
2023-04-28,KDEN,70
2023-04-29,KDEN,68
2023-04-30,KDEN,71
2023-05-01,KDEN,74
2023-05-02,KDEN,73
2023-05-03,KDEN,72
2023-05-04,KDEN,67
2023-05-05,KDEN,70
2023-05-06,KDEN,69
2023-05-07,KDEN,75
2023-05-08,KDEN,72
2023-05-09,KDEN,71
