
run_date,station,forecast_high_f
2023-01-26,KPHL,51
2023-01-27,KPHL,51
2023-01-28,KPHL,53
2023-01-29,KPHL,53
2023-01-30,KPHL,53
2023-01-31,KPHL,46
2023-02-01,KPHL,46
2023-02-02,KPHL,42
2023-02-03,KPHL,51
2023-02-04,KPHL,53
2023-02-05,KPHL,51
2023-02-06,KPHL,55
2023-02-07,KPHL,56
2023-02-08,KPHL,59
2023-02-09,KPHL,58
2023-02-10,KPHL,56
2023-02-11,KPHL,55
2023-02-12,KPHL,56
2023-02-13,KPHL,61
2023-02-14,KPHL,64
2023-02-15,KPHL,64
2023-02-16,KPHL,64
2023-02-17,KPHL,57
2023-02-18,KPHL,58
2023-02-19,KPHL,57
2023-02-20,KPHL,59
2023-02-21,KPHL,62
2023-02-22,KPHL,67
2023-02-23,KPHL,60
2023-02-24,KPHL,51
2023-02-25,KPHL,51
2023-02-26,KPHL,48
2023-02-27,KPHL,55
2023-02-28,KPHL,61
2023-03-01,KPHL,60
2023-03-02,KPHL,58
2023-03-03,KPHL,54
2023-03-04,KPHL,55
2023-03-05,KPHL,55
2023-03-06,KPHL,53
2023-03-07,KPHL,51
2023-03-08,KPHL,49
2023-03-09,KPHL,50
2023-03-10,KPHL,49
2023-03-11,KPHL,48
2023-03-12,KPHL,46
2023-03-13,KPHL,47
2023-03-14,KPHL,58
2023-03-15,KPHL,58
2023-03-16,KPHL,61
2023-03-17,KPHL,59
2023-03-18,KPHL,54
2023-03-19,KPHL,61
2023-03-20,KPHL,65
2023-03-21,KPHL,64
2023-03-22,KPHL,63
2023-03-23,KPHL,58
2023-03-24,KPHL,62
2023-03-25,KPHL,64
2023-03-26,KPHL,60
2023-03-27,KPHL,64
2023-03-28,KPHL,60
2023-03-29,KPHL,61
2023-03-30,KPHL,66
2023-03-31,KPHL,66
2023-04-01,KPHL,75
2023-04-02,KPHL,73
2023-04-03,KPHL,75
2023-04-04,KPHL,75
2023-04-05,KPHL,77
2023-04-06,KPHL,77
2023-04-07,KPHL,60
2023-04-08,KPHL,65
2023-04-09,KPHL,73
2023-04-10,KPHL,78
2023-04-11,KPHL,83
2023-04-12,KPHL,88
2023-04-13,KPHL,87
2023-04-14,KPHL,85
2023-04-15,KPHL,80
2023-04-16,KPHL,78
2023-04-17,KPHL,70
2023-04-18,KPHL,77
2023-04-19,KPHL,84
2023-04-20,KPHL,82
2023-04-21,KPHL,80
