
run_date,station,forecast_high_f
2023-01-26,KSFO,60
2023-01-27,KSFO,52
2023-01-28,KSFO,53
2023-01-29,KSFO,51
2023-01-30,KSFO,53
2023-01-31,KSFO,56
2023-02-01,KSFO,55
2023-02-02,KSFO,56
2023-02-03,KSFO,57
2023-02-04,KSFO,56
2023-02-05,KSFO,54
2023-02-06,KSFO,54
2023-02-07,KSFO,55
2023-02-08,KSFO,56
2023-02-09,KSFO,56
2023-02-10,KSFO,54
2023-02-11,KSFO,54
2023-02-12,KSFO,54
2023-02-13,KSFO,55
2023-02-14,KSFO,55
2023-02-15,KSFO,54
2023-02-16,KSFO,54
2023-02-17,KSFO,56
2023-02-18,KSFO,56
2023-02-19,KSFO,57
2023-02-20,KSFO,58
2023-02-21,KSFO,52
2023-02-22,KSFO,51
2023-02-23,KSFO,49
2023-02-24,KSFO,50
2023-02-25,KSFO,51
2023-02-26,KSFO,51
2023-02-27,KSFO,51
2023-02-28,KSFO,54
2023-03-01,KSFO,54
2023-03-02,KSFO,53
2023-03-03,KSFO,54
2023-03-04,KSFO,52
2023-03-05,KSFO,53
2023-03-06,KSFO,54
2023-03-07,KSFO,54
2023-03-08,KSFO,57
2023-03-09,KSFO,56
2023-03-10,KSFO,58
2023-03-11,KSFO,60
2023-03-12,KSFO,61
2023-03-13,KSFO,62
2023-03-14,KSFO,58
2023-03-15,KSFO,57
2023-03-16,KSFO,59
2023-03-17,KSFO,60
2023-03-18,KSFO,61
2023-03-19,KSFO,58
2023-03-20,KSFO,57
2023-03-21,KSFO,56
2023-03-22,KSFO,57
2023-03-23,KSFO,57
2023-03-24,KSFO,56
2023-03-25,KSFO,55
2023-03-26,KSFO,56
2023-03-27,KSFO,55
2023-03-28,KSFO,55
2023-03-29,KSFO,57
2023-03-30,KSFO,58
2023-03-31,KSFO,58
2023-04-01,KSFO,58
2023-04-02,KSFO,58
2023-04-03,KSFO,56
2023-04-04,KSFO,58
2023-04-05,KSFO,63
2023-04-06,KSFO,63
2023-04-07,KSFO,67
2023-04-08,KSFO,64
2023-04-09,KSFO,66
2023-04-10,KSFO,63
2023-04-11,KSFO,63
2023-04-12,KSFO,59
2023-04-13,KSFO,58
2023-04-14,KSFO,58
2023-04-15,KSFO,58
2023-04-16,KSFO,60
2023-04-17,KSFO,59
2023-04-18,KSFO,61
2023-04-19,KSFO,67
2023-04-20,KSFO,67
2023-04-21,KSFO,67
2023-04-22,KSFO,62
2023-04-23,KSFO,64
2023-04-24,KSFO,66
2023-04-25,KSFO,68
2023-04-26,KSFO,70
2023-04-27,KSFO,69
2023-04-28,KSFO,68
2023-04-29,KSFO,63
2023-04-30,KSFO,60
2023-05-01,KSFO,63
2023-05-02,KSFO,62
2023-05-03,KSFO,61
2023-05-04,KSFO,61
2023-05-05,KSFO,63
2023-05-06,KSFO,62
2023-05-07,KSFO,64
2023-05-08,KSFO,63
2023-05-09,KSFO,64
2023-05-10,KSFO,65
2023-05-11,KSFO,68
2023-05-12,KSFO,69
2023-05-13,KSFO,69
2023-05-14,KSFO,70
2023-05-15,KSFO,68
2023-05-16,KSFO,69
2023-05-17,KSFO,65
2023-05-18,KSFO,66
2023-05-19,KSFO,65
2023-05-20,KSFO,66
2023-05-21,KSFO,67
2023-05-22,KSFO,67
2023-05-23,KSFO,64
2023-05-24,KSFO,65
2023-05-25,KSFO,65
2023-05-26,KSFO,65
2023-05-27,KSFO,65
2023-05-28,KSFO,63
2023-05-29,KSFO,66
2023-05-30,KSFO,66
2023-05-31,KSFO,65
2023-06-01,KSFO,66
2023-06-02,KSFO,66
2023-06-03,KSFO,67
2023-06-04,KSFO,67
2023-06-05,KSFO,67
2023-06-06,KSFO,70
2023-06-07,KSFO,71
2023-06-08,KSFO,72
2023-06-09,KSFO,67
2023-06-10,KSFO,70
2023-06-11,KSFO,69
2023-06-12,KSFO,69
2023-06-13,KSFO,71
2023-06-14,KSFO,72
2023-06-15,KSFO,70
2023-06-16,KSFO,71
2023-06-17,KSFO,69
2023-06-18,KSFO,70
2023-06-19,KSFO,70
2023-06-20,KSFO,69
2023-06-21,KSFO,70
2023-06-22,KSFO,68
2023-06-23,KSFO,69
2023-06-24,KSFO,67
2023-06-25,KSFO,69
2023-06-26,KSFO,70
2023-06-27,KSFO,70
2023-06-28,KSFO,75
2023-06-29,KSFO,78
2023-06-30,KSFO,76
2023-07-01,KSFO,76
2023-07-02,KSFO,79
2023-07-03,KSFO,74
2023-07-04,KSFO,69
2023-07-05,KSFO,69
2023-07-06,KSFO,68
2023-07-07,KSFO,69
2023-07-08,KSFO,71
2023-07-09,KSFO,72
2023-07-10,KSFO,72
2023-07-11,KSFO,73
2023-07-12,KSFO,73
2023-07-13,KSFO,77
2023-07-14,KSFO,75
2023-07-15,KSFO,74
2023-07-16,KSFO,75
2023-07-17,KSFO,76
2023-07-18,KSFO,71
2023-07-19,KSFO,74
2023-07-20,KSFO,73
2023-07-21,KSFO,74
2023-07-22,KSFO,74
2023-07-23,KSFO,77
2023-07-24,KSFO,73
2023-07-25,KSFO,70
2023-07-26,KSFO,72
2023-07-27,KSFO,72
2023-07-28,KSFO,72
2023-07-29,KSFO,71
2023-07-30,KSFO,70
2023-07-31,KSFO,71
2023-08-01,KSFO,70
2023-08-02,KSFO,70
2023-08-03,KSFO,72
2023-08-04,KSFO,75
2023-08-05,KSFO,77
2023-08-06,KSFO,78
2023-08-07,KSFO,77
2023-08-08,KSFO,72
2023-08-09,KSFO,71
2023-08-10,KSFO,73
2023-08-11,KSFO,72
2023-08-12,KSFO,75
2023-08-13,KSFO,77
2023-08-14,KSFO,77
